Backbone_Run,Backbone_Source,Gate_Mode,Gate_Temperature,Gate_Side_Cap,Gate_Global_Floor,SearchStage,Experiment_ID,Experiment,PackName,ModelFamily,ComplexityScore,Features,CV_PR_AUC,Val_AUC,Val_PR_AUC,Val_F1,Val_Threshold,Test_AUC,Test_PR_AUC,Test_F1,Test_Recall,Test_Specificity,Test_C_Index,Best_Params,Status,ComponentModels
global_floor_040,retrained,global_floor,1.0,,0.4,screen,global_floor_040::teacher_landmark_gate_raw::lr,teacher_landmark_gate_raw__lr,teacher_landmark_gate_raw,lr,1,4,0.22377839376599332,0.868623450007848,0.37213450836726075,0.5185185185185185,0.1999999999999999,0.7941009642654566,0.24850100285425553,0.3146067415730337,0.34146341463414637,0.9281183932346723,0.7013470400567174,{'clf__C': 0.05},ok,
global_floor_040,retrained,global_floor,1.0,,0.4,screen,global_floor_040::teacher_landmark_gate_raw::elastic_lr,teacher_landmark_gate_raw__elastic_lr,teacher_landmark_gate_raw,elastic_lr,2,4,0.2180171982247281,0.8689373724690002,0.36829297270371236,0.5,0.2049999999999999,0.7949260042283297,0.24544152729653537,0.3333333333333333,0.36585365853658536,0.9281183932346723,0.7034739454094293,"{'clf__l1_ratio': 0.1, 'clf__C': 0.5}",ok,
side_cap_035,retrained,side_cap,1.0,0.35,,screen,side_cap_035::teacher_only_raw::lr,teacher_only_raw__lr,teacher_only_raw,lr,1,1,0.26210090282279097,0.8565374352534925,0.3643190766455836,0.379746835443038,0.12499999999999996,0.8362295673696695,0.22933853677572583,0.37662337662337664,0.7073170731707317,0.8224101479915433,0.7444168734491315,{'clf__C': 0.01},ok,
side_cap_035,retrained,side_cap,1.0,0.35,,screen,side_cap_035::teacher_only_raw::lr_balanced,teacher_only_raw__lr_balanced,teacher_only_raw,lr_balanced,1,1,0.26210090282279097,0.8565374352534925,0.3643190766455836,0.3829787234042553,0.7449999999999997,0.8362295673696695,0.22933853677572583,0.20512820512820512,0.1951219512195122,0.9386892177589852,0.7444168734491315,{'clf__C': 0.01},ok,
side_cap_035,retrained,side_cap,1.0,0.35,,screen,side_cap_035::teacher_only_raw::elastic_lr,teacher_only_raw__elastic_lr,teacher_only_raw,elastic_lr,2,1,0.26210090282279097,0.8565374352534925,0.3643190766455836,0.3829787234042553,0.2499999999999999,0.8362295673696695,0.22933853677572583,0.20512820512820512,0.1951219512195122,0.9386892177589852,0.7444168734491315,"{'clf__l1_ratio': 0.5, 'clf__C': 5}",ok,
side_cap_035,retrained,side_cap,1.0,0.35,,wide,side_cap_035::teacher_only_cal::elastic_lr_sparse_fixed,teacher_only_cal__elastic_lr_sparse_fixed,teacher_only_cal,elastic_lr_sparse_fixed,2,1,0.26210090282279097,0.8565374352534925,0.3643190766455836,0.3829787234042553,0.19499999999999995,0.8362295673696695,0.22933853677572583,0.20512820512820512,0.1951219512195122,0.9386892177589852,0.7444168734491315,,ok,
side_cap_035,retrained,side_cap,1.0,0.35,,wide,side_cap_035::teacher_only_cal::elastic_lr_dense_fixed,teacher_only_cal__elastic_lr_dense_fixed,teacher_only_cal,elastic_lr_dense_fixed,2,1,0.26210090282279097,0.8565374352534925,0.3643190766455836,0.3829787234042553,0.2099999999999999,0.8362295673696695,0.22933853677572583,0.20512820512820512,0.1951219512195122,0.9386892177589852,0.7444168734491315,,ok,
side_cap_035,retrained,side_cap,1.0,0.35,,screen,side_cap_035::teacher_landmark_raw::elastic_lr,teacher_landmark_raw__elastic_lr,teacher_landmark_raw,elastic_lr,2,2,0.26210090282279097,0.8565374352534925,0.3643190766455836,0.3829787234042553,0.22499999999999992,0.8362295673696695,0.22933853677572583,0.20512820512820512,0.1951219512195122,0.9386892177589852,0.7444168734491315,"{'clf__l1_ratio': 0.7, 'clf__C': 0.05}",ok,
side_cap_035,retrained,side_cap,1.0,0.35,,wide,side_cap_035::teacher_only_raw_cal::elastic_lr_sparse_fixed,teacher_only_raw_cal__elastic_lr_sparse_fixed,teacher_only_raw_cal,elastic_lr_sparse_fixed,2,2,0.26210090282279097,0.8565374352534925,0.3643190766455836,0.3829787234042553,0.22499999999999992,0.8362295673696695,0.22933853677572583,0.20512820512820512,0.1951219512195122,0.9386892177589852,0.7444168734491315,,ok,
side_cap_035,retrained,side_cap,1.0,0.35,,wide,side_cap_035::teacher_only_raw_cal::elastic_lr_dense_fixed,teacher_only_raw_cal__elastic_lr_dense_fixed,teacher_only_raw_cal,elastic_lr_dense_fixed,2,2,0.26210090282279097,0.8565374352534925,0.3643190766455836,0.3829787234042553,0.2499999999999999,0.8362295673696695,0.22933853677572583,0.20512820512820512,0.1951219512195122,0.9386892177589852,0.7444168734491315,,ok,
side_cap_035,retrained,side_cap,1.0,0.35,,wide,side_cap_035::teacher_landmark_raw_cal::elastic_lr_sparse_fixed,teacher_landmark_raw_cal__elastic_lr_sparse_fixed,teacher_landmark_raw_cal,elastic_lr_sparse_fixed,2,4,0.26210090282279097,0.8565374352534925,0.3643190766455836,0.3829787234042553,0.22499999999999992,0.8362295673696695,0.22933853677572583,0.20512820512820512,0.1951219512195122,0.9386892177589852,0.7444168734491315,,ok,
side_cap_035,retrained,side_cap,1.0,0.35,,ensemble,side_cap_035::stack_elastic_top3,stack_elastic_top3,top3_stack,stack_elastic,4,3,0.26210090282279097,0.8565374352534925,0.3643190766455836,0.3829787234042553,0.2049999999999999,0.8362295673696695,0.22933853677572583,0.20512820512820512,0.1951219512195122,0.9386892177589852,0.7444168734491315,"{'clf__l1_ratio': 0.7, 'clf__C': 0.05}",ok,teacher_only_cal__elastic_lr_sparse_fixed|teacher_only_cal__elastic_lr_dense_fixed|teacher_only_raw_cal__elastic_lr_sparse_fixed
side_cap_035,retrained,side_cap,1.0,0.35,,ensemble,side_cap_035::rank_average_top3,rank_average_top3,top3_rank_average,rank_average,5,3,0.23353556873190345,0.8565374352534925,0.3643190766455836,0.3617021276595745,0.7649999999999997,0.8362295673696695,0.22933853677572583,0.35802469135802467,0.7073170731707317,0.8054968287526427,0.7444168734491315,,ok,teacher_only_cal__elastic_lr_sparse_fixed|teacher_only_cal__elastic_lr_dense_fixed|teacher_only_raw_cal__elastic_lr_sparse_fixed
side_cap_035,retrained,side_cap,1.0,0.35,,screen,side_cap_035::teacher_landmark_windowed_raw::elastic_lr,teacher_landmark_windowed_raw__elastic_lr,teacher_landmark_windowed_raw,elastic_lr,2,17,0.26210090282279097,0.8574792026369487,0.3630553434339656,0.39473684210526316,0.14499999999999996,0.8387046872582891,0.23450932427777993,0.3783783783783784,0.6829268292682927,0.8329809725158562,0.7429989365473236,"{'clf__l1_ratio': 0.9, 'clf__C': 0.05}",ok,
side_cap_035,retrained,side_cap,1.0,0.35,,screen,side_cap_035::teacher_landmark_raw::lr_balanced,teacher_landmark_raw__lr_balanced,teacher_landmark_raw,lr_balanced,1,2,0.25804303524784467,0.851985559566787,0.3615683278061662,0.37735849056603776,0.7699999999999997,0.8340638374671273,0.23028918846369434,0.28865979381443296,0.34146341463414637,0.9112050739957717,0.7396313364055299,{'clf__C': 5},ok,
side_cap_035,retrained,side_cap,1.0,0.35,,screen,side_cap_035::teacher_landmark_gate_raw::elastic_lr,teacher_landmark_gate_raw__elastic_lr,teacher_landmark_gate_raw,elastic_lr,2,5,0.2612203237527824,0.8557526291006121,0.36155319126820706,0.379746835443038,0.13499999999999995,0.8364873923580673,0.23650267494605484,0.3741935483870968,0.7073170731707317,0.8202959830866807,0.7445941155618575,"{'clf__l1_ratio': 0.7, 'clf__C': 0.05}",ok,
softmax_free,retrained,softmax_free,1.0,,,screen,softmax_free::teacher_landmark_raw::lr,teacher_landmark_raw__lr,teacher_landmark_raw,lr,1,2,0.18991748121092408,0.8304818709778685,0.3575598743826772,0.43636363636363634,0.14999999999999997,0.7999278090032486,0.26695286821842906,0.29473684210526313,0.34146341463414637,0.9154334038054969,0.7584190003544842,{'clf__C': 0.01},ok,
global_floor_040,retrained,global_floor,1.0,,0.4,screen,global_floor_040::teacher_landmark_gate_raw::lr_balanced,teacher_landmark_gate_raw__lr_balanced,teacher_landmark_gate_raw,lr_balanced,1,4,0.22534298552989118,0.8657981478574792,0.356772088448972,0.49122807017543857,0.7249999999999998,0.7935853142886609,0.25533494678919977,0.3111111111111111,0.34146341463414637,0.9260042283298098,0.7002835873803616,{'clf__C': 0.01},ok,
softmax_free,retrained,softmax_free,1.0,,,screen,softmax_free::teacher_landmark_raw::lr_balanced,teacher_landmark_raw__lr_balanced,teacher_landmark_raw,lr_balanced,1,2,0.1908956594230058,0.8276565688274996,0.351949471798527,0.43636363636363634,0.7049999999999997,0.7997215490125303,0.26748225483626314,0.28865979381443296,0.34146341463414637,0.9112050739957717,0.7568238213399504,{'clf__C': 0.01},ok,
softmax_free,retrained,softmax_free,1.0,,,screen,softmax_free::teacher_landmark_raw::elastic_lr,teacher_landmark_raw__elastic_lr,teacher_landmark_raw,elastic_lr,2,2,0.18883748639510758,0.8264008789828912,0.35000718078773835,0.43137254901960786,0.19499999999999995,0.7996184190171711,0.26728121188198617,0.3010752688172043,0.34146341463414637,0.919661733615222,0.7555831265508685,"{'clf__l1_ratio': 0.1, 'clf__C': 0.5}",ok,
global_floor_040,retrained,global_floor,1.0,,0.4,screen,global_floor_040::teacher_only_raw::lr,teacher_only_raw__lr,teacher_only_raw,lr,1,1,0.21810474568954052,0.8295401035944122,0.34943794265680206,0.4,0.16499999999999992,0.778631464961584,0.20565758790479746,0.14035087719298245,0.0975609756097561,0.9746300211416491,0.6983339241403758,{'clf__C': 0.01},ok,
global_floor_040,retrained,global_floor,1.0,,0.4,screen,global_floor_040::teacher_only_raw::lr_balanced,teacher_only_raw__lr_balanced,teacher_only_raw,lr_balanced,1,1,0.21810474568954052,0.8295401035944122,0.34943794265680206,0.3888888888888889,0.7399999999999997,0.778631464961584,0.20565758790479746,0.1724137931034483,0.12195121951219512,0.9746300211416491,0.6983339241403758,{'clf__C': 0.01},ok,
global_floor_040,retrained,global_floor,1.0,,0.4,screen,global_floor_040::teacher_only_raw::elastic_lr,teacher_only_raw__elastic_lr,teacher_only_raw,elastic_lr,2,1,0.21810474568954052,0.8295401035944122,0.34943794265680206,0.3888888888888889,0.24499999999999988,0.778631464961584,0.20565758790479746,0.14035087719298245,0.0975609756097561,0.9746300211416491,0.6983339241403758,"{'clf__l1_ratio': 0.5, 'clf__C': 5}",ok,
global_floor_040,retrained,global_floor,1.0,,0.4,wide,global_floor_040::teacher_only_cal::elastic_lr_sparse_fixed,teacher_only_cal__elastic_lr_sparse_fixed,teacher_only_cal,elastic_lr_sparse_fixed,2,1,0.21810474568954052,0.8295401035944122,0.34943794265680206,0.4,0.22999999999999993,0.778631464961584,0.20565758790479746,0.14035087719298245,0.0975609756097561,0.9746300211416491,0.6983339241403758,,ok,
global_floor_040,retrained,global_floor,1.0,,0.4,wide,global_floor_040::teacher_only_cal::elastic_lr_dense_fixed,teacher_only_cal__elastic_lr_dense_fixed,teacher_only_cal,elastic_lr_dense_fixed,2,1,0.21810474568954052,0.8295401035944122,0.34943794265680206,0.4,0.2549999999999999,0.778631464961584,0.20565758790479746,0.14035087719298245,0.0975609756097561,0.9746300211416491,0.6983339241403758,,ok,
global_floor_040,retrained,global_floor,1.0,,0.4,wide,global_floor_040::teacher_only_raw_cal::elastic_lr_sparse_fixed,teacher_only_raw_cal__elastic_lr_sparse_fixed,teacher_only_raw_cal,elastic_lr_sparse_fixed,2,2,0.21810474568954052,0.8295401035944122,0.34943794265680206,0.3888888888888889,0.2149999999999999,0.778631464961584,0.20565758790479746,0.1724137931034483,0.12195121951219512,0.9746300211416491,0.6983339241403758,,ok,
global_floor_040,retrained,global_floor,1.0,,0.4,wide,global_floor_040::teacher_only_raw_cal::elastic_lr_dense_fixed,teacher_only_raw_cal__elastic_lr_dense_fixed,teacher_only_raw_cal,elastic_lr_dense_fixed,2,2,0.21810474568954052,0.8295401035944122,0.34943794265680206,0.3888888888888889,0.22999999999999993,0.778631464961584,0.20565758790479746,0.1724137931034483,0.12195121951219512,0.9746300211416491,0.6983339241403758,,ok,
global_floor_040,retrained,global_floor,1.0,,0.4,ensemble,global_floor_040::stack_elastic_top3,stack_elastic_top3,top3_stack,stack_elastic,4,3,0.21810474568954052,0.8295401035944122,0.34943794265680206,0.3888888888888889,0.22499999999999992,0.778631464961584,0.20565758790479746,0.14035087719298245,0.0975609756097561,0.9746300211416491,0.6983339241403758,"{'clf__l1_ratio': 0.7, 'clf__C': 0.05}",ok,teacher_only_cal__elastic_lr_sparse_fixed|teacher_only_cal__elastic_lr_dense_fixed|teacher_only_raw_cal__elastic_lr_sparse_fixed
global_floor_040,retrained,global_floor,1.0,,0.4,ensemble,global_floor_040::rank_average_top3,rank_average_top3,top3_rank_average,rank_average,5,3,0.18731487653265413,0.8295401035944122,0.34943794265680206,0.3333333333333333,0.6999999999999997,0.778631464961584,0.20565758790479746,0.2857142857142857,0.6829268292682927,0.7315010570824524,0.6983339241403758,,ok,teacher_only_cal__elastic_lr_sparse_fixed|teacher_only_cal__elastic_lr_dense_fixed|teacher_only_raw_cal__elastic_lr_sparse_fixed
softmax_free,retrained,softmax_free,1.0,,,wide,softmax_free::teacher_landmark_raw_cal::elastic_lr_sparse_fixed,teacher_landmark_raw_cal__elastic_lr_sparse_fixed,teacher_landmark_raw_cal,elastic_lr_sparse_fixed,2,4,0.1864305511844324,0.8240464605242505,0.347276548191397,0.41509433962264153,0.16999999999999993,0.7991027690403755,0.2662260409105082,0.29473684210526313,0.34146341463414637,0.9154334038054969,0.7541651896490607,,ok,
reuse_current_hard_cap_025,reuse_current,side_cap,1.0,0.25,,screen,reuse_current_hard_cap_025::teacher_landmark_gate_raw::lr_balanced,teacher_landmark_gate_raw__lr_balanced,teacher_landmark_gate_raw,lr_balanced,1,5,0.29508107043033155,0.8427248469628001,0.3445652603598427,0.43333333333333335,0.7449999999999997,0.8292167276852473,0.28999761974650945,0.36538461538461536,0.4634146341463415,0.9069767441860465,0.728465083303793,{'clf__C': 0.1},ok,
side_cap_035,retrained,side_cap,1.0,0.35,,screen,side_cap_035::teacher_landmark_gate_raw::lr,teacher_landmark_gate_raw__lr,teacher_landmark_gate_raw,lr,1,5,0.25422666365134444,0.8546539004865799,0.3441708658232818,0.3888888888888889,0.14999999999999997,0.8378280822977363,0.25434943155980105,0.34285714285714286,0.5853658536585366,0.8414376321353065,0.7470755051400213,{'clf__C': 0.05},ok,
reuse_current_hard_cap_025,reuse_current,side_cap,1.0,0.25,,screen,reuse_current_hard_cap_025::teacher_only_raw::lr,teacher_only_raw__lr,teacher_only_raw,lr,1,1,0.30677141305596684,0.832679328205933,0.34392213743085376,0.39285714285714285,0.15499999999999997,0.8261228278244728,0.27417307416711717,0.32,0.3902439024390244,0.9090909090909091,0.7238567883729174,{'clf__C': 0.01},ok,
reuse_current_hard_cap_025,reuse_current,side_cap,1.0,0.25,,screen,reuse_current_hard_cap_025::teacher_only_raw::lr_balanced,teacher_only_raw__lr_balanced,teacher_only_raw,lr_balanced,1,1,0.30677141305596684,0.832679328205933,0.34392213743085376,0.4074074074074074,0.7099999999999997,0.8261228278244728,0.27417307416711717,0.32323232323232326,0.3902439024390244,0.9112050739957717,0.7238567883729174,{'clf__C': 0.01},ok,
reuse_current_hard_cap_025,reuse_current,side_cap,1.0,0.25,,screen,reuse_current_hard_cap_025::teacher_only_raw::elastic_lr,teacher_only_raw__elastic_lr,teacher_only_raw,elastic_lr,2,1,0.30677141305596684,0.832679328205933,0.34392213743085376,0.4074074074074074,0.2149999999999999,0.8261228278244728,0.27417307416711717,0.32323232323232326,0.3902439024390244,0.9112050739957717,0.7238567883729174,"{'clf__l1_ratio': 0.5, 'clf__C': 5}",ok,
reuse_current_hard_cap_025,reuse_current,side_cap,1.0,0.25,,screen,reuse_current_hard_cap_025::teacher_landmark_gate_raw::elastic_lr,teacher_landmark_gate_raw__elastic_lr,teacher_landmark_gate_raw,elastic_lr,2,5,0.29242325900514404,0.8409982734264636,0.34268427043652344,0.4406779661016949,0.18499999999999994,0.8298355076574022,0.28996693447369554,0.35294117647058826,0.43902439024390244,0.9090909090909091,0.7305919886565048,"{'clf__l1_ratio': 0.9, 'clf__C': 0.05}",ok,
reuse_current_hard_cap_025,reuse_current,side_cap,1.0,0.25,,screen,reuse_current_hard_cap_025::teacher_landmark_raw::lr_balanced,teacher_landmark_raw__lr_balanced,teacher_landmark_raw,lr_balanced,1,2,0.30608531894632934,0.842097002040496,0.34253761851408376,0.45614035087719296,0.7549999999999997,0.8298870726550818,0.2908465400662228,0.36,0.43902439024390244,0.9133192389006343,0.7311237149946828,{'clf__C': 5},ok,
side_cap_035,retrained,side_cap,1.0,0.35,,screen,side_cap_035::teacher_landmark_raw::lr,teacher_landmark_raw__lr,teacher_landmark_raw,lr,1,2,0.25481618601511824,0.8604614660178935,0.3396668784765514,0.43333333333333335,0.14999999999999997,0.8343216624555252,0.23669515098411636,0.34234234234234234,0.4634146341463415,0.8921775898520085,0.749911378943637,{'clf__C': 0.01},ok,
global_floor_040,retrained,global_floor,1.0,,0.4,wide,global_floor_040::teacher_landmark_raw_cal::elastic_lr_sparse_fixed,teacher_landmark_raw_cal__elastic_lr_sparse_fixed,teacher_landmark_raw_cal,elastic_lr_sparse_fixed,2,4,0.21978337117289506,0.842253963271072,0.33927425394921334,0.3783783783783784,0.21999999999999992,0.7966276491517558,0.21860111788782038,0.21052631578947367,0.14634146341463414,0.9788583509513742,0.7206664303438497,,ok,
global_floor_050,retrained,global_floor,1.0,,0.5,screen,global_floor_050::teacher_only_raw::lr,teacher_only_raw__lr,teacher_only_raw,lr,1,1,0.31038618698336956,0.8447653429602888,0.3383523675870157,0.39285714285714285,0.15499999999999997,0.828030732738617,0.26782860550418797,0.32432432432432434,0.43902439024390244,0.8900634249471459,0.7133995037220844,{'clf__C': 0.01},ok,
global_floor_050,retrained,global_floor,1.0,,0.5,screen,global_floor_050::teacher_only_raw::lr_balanced,teacher_only_raw__lr_balanced,teacher_only_raw,lr_balanced,1,1,0.31038618698336956,0.8447653429602888,0.3383523675870157,0.3793103448275862,0.6999999999999997,0.828030732738617,0.26782860550418797,0.32432432432432434,0.43902439024390244,0.8900634249471459,0.7133995037220844,{'clf__C': 0.01},ok,
global_floor_050,retrained,global_floor,1.0,,0.5,screen,global_floor_050::teacher_only_raw::elastic_lr,teacher_only_raw__elastic_lr,teacher_only_raw,elastic_lr,2,1,0.31038618698336956,0.8447653429602888,0.3383523675870157,0.36666666666666664,0.2049999999999999,0.828030732738617,0.26782860550418797,0.32432432432432434,0.43902439024390244,0.8900634249471459,0.7133995037220844,"{'clf__l1_ratio': 0.5, 'clf__C': 5}",ok,
global_floor_040,retrained,global_floor,1.0,,0.4,screen,global_floor_040::teacher_landmark_raw::lr_balanced,teacher_landmark_raw__lr_balanced,teacher_landmark_raw,lr_balanced,1,2,0.22905048199242095,0.8458640715743211,0.33423195224957036,0.3888888888888889,0.7999999999999997,0.7975042541123085,0.22049678890486094,0.21052631578947367,0.14634146341463414,0.9788583509513742,0.7233250620347395,{'clf__C': 0.05},ok,
global_floor_040,retrained,global_floor,1.0,,0.4,screen,global_floor_040::teacher_landmark_raw::lr,teacher_landmark_raw__lr,teacher_landmark_raw,lr,1,2,0.22808232281064622,0.8471197614189294,0.33372804151467883,0.35443037974683544,0.13499999999999995,0.7978136440983861,0.2205944045281768,0.2677165354330709,0.4146341463414634,0.854122621564482,0.7235023041474654,{'clf__C': 0.1},ok,
global_floor_040,retrained,global_floor,1.0,,0.4,screen,global_floor_040::teacher_landmark_raw::elastic_lr,teacher_landmark_raw__elastic_lr,teacher_landmark_raw,elastic_lr,2,2,0.22570252116329992,0.845236226652017,0.33335312807878686,0.3888888888888889,0.2549999999999999,0.7971432991285515,0.22016837504310718,0.21052631578947367,0.14634146341463414,0.9788583509513742,0.7226160935838355,"{'clf__l1_ratio': 0.1, 'clf__C': 0.5}",ok,
side_cap_035,retrained,side_cap,1.0,0.35,,screen,side_cap_035::teacher_landmark_windowed_raw::lr,teacher_landmark_windowed_raw__lr,teacher_landmark_windowed_raw,lr,1,17,0.2438174198733025,0.8372312038926384,0.3328601079113478,0.4,0.18999999999999995,0.8182333831794977,0.2470271118414911,0.3333333333333333,0.4146341463414634,0.9069767441860465,0.7116270825948245,{'clf__C': 0.1},ok,
global_floor_040,retrained,global_floor,1.0,,0.4,wide,global_floor_040::teacher_landmark_raw_cal::lightgbm_small_fixed,teacher_landmark_raw_cal__lightgbm_small_fixed,teacher_landmark_raw_cal,lightgbm_small_fixed,3,4,0.19700499192969834,0.8400565060430073,0.33271572795263626,0.36666666666666664,0.18499999999999994,0.7718764502655597,0.18700667440398427,0.21176470588235294,0.21951219512195122,0.9260042283298098,0.6796348812477845,,ok,
